Mass->,Nd142Di,Nd143Di,Nd144Di,Nd146Di,Gd158Di,Dy164Di,Dy162Di,Dy163Di,Ho165Di,Er166Di,Er167Di,Er168Di,Er170Di,Tm169Di,Yb172Di,Yb173Di,Yb174Di,Yb176Di
1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0
2,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1
3,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0
4,0,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,0
5,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0
6,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0
7,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,1
8,0,0,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0
9,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,0,0
10,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,0
11,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,0
12,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1
13,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1
14,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1
15,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1
16,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0
17,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,0
18,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0
19,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,1,0,0
20,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0
21,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,0
22,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1
23,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0
24,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0
25,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0
26,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,0
27,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,0,1
28,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1
29,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1
30,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1
31,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,0,0
32,0,0,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0
33,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0
34,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0
35,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,0
36,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0
37,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,0,1
38,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1
39,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,0,1
40,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1
41,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0
42,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0
43,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0
44,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0
45,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0
46,0,0,0,0,1,0,1,1,1,0,1,0,1,0,0,1,1,0
47,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,1
48,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,0,1
49,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1
50,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,0,1
51,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1
52,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,1,1
53,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,1,0,0
54,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0
55,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0
56,0,0,0,0,1,0,1,1,1,1,0,0,1,0,0,1,1,0
57,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,0,1
58,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,0
59,0,0,0,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0
60,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,0
61,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,0
62,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,0,1
63,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1
64,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1
65,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,1
66,0,0,0,0,1,0,0,1,1,1,0,1,0,1,1,1,0,0
67,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0
68,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0
69,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0
70,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,1,1,0
71,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,1,0
72,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,1
73,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
74,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1
75,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,1,1
76,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,1,0,0
77,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,1,0,0
78,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,0
79,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0
80,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0
81,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0
82,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,0,1
83,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1
84,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,1
85,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,1
86,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,1
87,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1
88,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1,1,0,0
89,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0
90,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,1,0
91,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0
92,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1
